filename,date,strain,plasmid,backbone,iptg_concentration
Huseyin2019-09-24.0264.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,20
Huseyin2019-09-24.0265.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,30
Huseyin2019-09-24.0266.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,40
Huseyin2019-09-24.0267.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,70
Huseyin2019-09-24.0268.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,100
Huseyin2019-09-24.0269.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,200
Huseyin2019-09-24.0270.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,500
Huseyin2019-09-24.0271.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,1000
Huseyin2019-09-24.0272.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,2000
Huseyin2019-09-24.0273.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,0
Huseyin2019-09-24.0274.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,5
Huseyin2019-09-24.0275.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,10
Huseyin2019-09-24.0276.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,20
Huseyin2019-09-24.0277.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,30
Huseyin2019-09-24.0278.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,40
Huseyin2019-09-24.0279.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,70
Huseyin2019-09-24.0280.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,100
Huseyin2019-09-24.0281.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,200
Huseyin2019-09-24.0282.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,500
Huseyin2019-09-24.0283.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,1000
Huseyin2019-09-24.0284.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,2000
Huseyin2019-09-24.0285.fcs,2019-09-24,KT 2440,Empty,Empty,0
Huseyin2019-09-24.0286.fcs,2019-09-24,KT 2440,Empty,Empty,5
Huseyin2019-09-24.0287.fcs,2019-09-24,KT 2440,Empty,Empty,10
Huseyin2019-09-24.0288.fcs,2019-09-24,KT 2440,Empty,Empty,20
Huseyin2019-09-24.0289.fcs,2019-09-24,KT 2440,Empty,Empty,30
Huseyin2019-09-24.0290.fcs,2019-09-24,KT 2440,Empty,Empty,40
Huseyin2019-09-24.0291.fcs,2019-09-24,KT 2440,Empty,Empty,70
Huseyin2019-09-24.0292.fcs,2019-09-24,KT 2440,Empty,Empty,100
Huseyin2019-09-24.0293.fcs,2019-09-24,KT 2440,Empty,Empty,200
Huseyin2019-09-24.0294.fcs,2019-09-24,KT 2440,Empty,Empty,500
Huseyin2019-09-24.0295.fcs,2019-09-24,KT 2440,Empty,Empty,1000
Huseyin2019-09-24.0296.fcs,2019-09-24,KT 2440,Empty,Empty,2000
Huseyin2019-09-25.0001.fcs,2019-09-25,DH5α,1201,pAN,0
Huseyin2019-09-25.0002.fcs,2019-09-25,DH5α,1201,pAN,5
Huseyin2019-09-25.0003.fcs,2019-09-25,DH5α,1201,pAN,10
Huseyin2019-09-25.0004.fcs,2019-09-25,DH5α,1201,pAN,20
Huseyin2019-09-25.0005.fcs,2019-09-25,DH5α,1201,pAN,30
Huseyin2019-09-25.0006.fcs,2019-09-25,DH5α,1201,pAN,40
