,filename,date,strain,plasmid,backbone,iptg_concentration,median
502,Huseyin2019-09-25.0223.fcs,2019-09-25,DH5α,QacR-Q1,pAN,1000,0.9164770245552063
503,Huseyin2019-09-25.0224.fcs,2019-09-25,DH5α,QacR-Q1,pAN,2000,0.9668264985084534
504,Huseyin2019-09-25.0225.fcs,2019-09-25,DH5α,QacR-Q2,pAN,0,4.237544536590576
505,Huseyin2019-09-25.0226.fcs,2019-09-25,DH5α,QacR-Q2,pAN,5,2.0792794227600098
506,Huseyin2019-09-25.0227.fcs,2019-09-25,DH5α,QacR-Q2,pAN,10,1.3344659805297852
507,Huseyin2019-09-25.0228.fcs,2019-09-25,DH5α,QacR-Q2,pAN,20,0.847421407699585
508,Huseyin2019-09-25.0229.fcs,2019-09-25,DH5α,QacR-Q2,pAN,30,0.7870858311653137
509,Huseyin2019-09-25.0230.fcs,2019-09-25,DH5α,QacR-Q2,pAN,40,0.8109438419342041
510,Huseyin2019-09-25.0231.fcs,2019-09-25,DH5α,QacR-Q2,pAN,70,0.8005585670471191
511,Huseyin2019-09-25.0232.fcs,2019-09-25,DH5α,QacR-Q2,pAN,100,0.7978157997131348
512,Huseyin2019-09-25.0233.fcs,2019-09-25,DH5α,QacR-Q2,pAN,200,0.7933011651039124
513,Huseyin2019-09-25.0234.fcs,2019-09-25,DH5α,QacR-Q2,pAN,500,0.7963632941246033
514,Huseyin2019-09-25.0235.fcs,2019-09-25,DH5α,QacR-Q2,pAN,1000,0.8150776624679565
515,Huseyin2019-09-25.0236.fcs,2019-09-25,DH5α,QacR-Q2,pAN,2000,0.8512864112854004
516,Huseyin2019-09-25.0237.fcs,2019-09-25,DH5α,SrpR-S1,pAN,0,1.3344051837921143
517,Huseyin2019-09-25.0238.fcs,2019-09-25,DH5α,SrpR-S1,pAN,5,0.8333655595779419
518,Huseyin2019-09-25.0239.fcs,2019-09-25,DH5α,SrpR-S1,pAN,10,0.809025228023529
519,Huseyin2019-09-25.0240.fcs,2019-09-25,DH5α,SrpR-S1,pAN,20,0.7978910803794861
520,Huseyin2019-09-25.0241.fcs,2019-09-25,DH5α,SrpR-S1,pAN,30,0.808211088180542
521,Huseyin2019-09-25.0242.fcs,2019-09-25,DH5α,SrpR-S1,pAN,40,0.8180242776870728
522,Huseyin2019-09-25.0243.fcs,2019-09-25,DH5α,SrpR-S1,pAN,70,0.8190163373947144
523,Huseyin2019-09-25.0244.fcs,2019-09-25,DH5α,SrpR-S1,pAN,100,0.8216129541397095
524,Huseyin2019-09-25.0245.fcs,2019-09-25,DH5α,SrpR-S1,pAN,200,0.8368173837661743
525,Huseyin2019-09-25.0246.fcs,2019-09-25,DH5α,SrpR-S1,pAN,500,0.7909567356109619
526,Huseyin2019-09-25.0247.fcs,2019-09-25,DH5α,SrpR-S1,pAN,1000,0.8316887021064758
527,Huseyin2019-09-25.0248.fcs,2019-09-25,DH5α,SrpR-S1,pAN,2000,0.8456673622131348
528,Huseyin2019-09-25.0249.fcs,2019-09-25,DH5α,SrpR-S2,pAN,0,2.3851819038391113
529,Huseyin2019-09-25.0250.fcs,2019-09-25,DH5α,SrpR-S2,pAN,5,1.4198555946350098
530,Huseyin2019-09-25.0251.fcs,2019-09-25,DH5α,SrpR-S2,pAN,10,1.1980760097503662
531,Huseyin2019-09-25.0252.fcs,2019-09-25,DH5α,SrpR-S2,pAN,20,0.8799107670783997
532,Huseyin2019-09-25.0253.fcs,2019-09-25,DH5α,SrpR-S2,pAN,30,0.8115642070770264
533,Huseyin2019-09-25.0254.fcs,2019-09-25,DH5α,SrpR-S2,pAN,40,0.8173394203186035
534,Huseyin2019-09-25.0255.fcs,2019-09-25,DH5α,SrpR-S2,pAN,70,0.7865349650382996
535,Huseyin2019-09-25.0256.fcs,2019-09-25,DH5α,SrpR-S2,pAN,100,0.7986651659011841
536,Huseyin2019-09-25.0257.fcs,2019-09-25,DH5α,SrpR-S2,pAN,200,0.8088342547416687
537,Huseyin2019-09-25.0258.fcs,2019-09-25,DH5α,SrpR-S2,pAN,500,0.801209568977356
538,Huseyin2019-09-25.0259.fcs,2019-09-25,DH5α,SrpR-S2,pAN,1000,0.7942368388175964
539,Huseyin2019-09-25.0260.fcs,2019-09-25,DH5α,SrpR-S2,pAN,2000,0.8468920588493347
540,Huseyin2019-09-25.0261.fcs,2019-09-25,DH5α,SrpR-S3,pAN,0,2.250333786010742
541,Huseyin2019-09-25.0262.fcs,2019-09-25,DH5α,SrpR-S3,pAN,5,1.322304368019104
542,Huseyin2019-09-25.0263.fcs,2019-09-25,DH5α,SrpR-S3,pAN,10,1.0293831825256348
543,Huseyin2019-09-25.0264.fcs,2019-09-25,DH5α,SrpR-S3,pAN,20,0.8547849655151367
544,Huseyin2019-09-25.0265.fcs,2019-09-25,DH5α,SrpR-S3,pAN,30,0.7934966683387756
545,Huseyin2019-09-25.0266.fcs,2019-09-25,DH5α,SrpR-S3,pAN,40,0.7903451919555664
546,Huseyin2019-09-25.0267.fcs,2019-09-25,DH5α,SrpR-S3,pAN,70,0.7894929647445679
547,Huseyin2019-09-25.0268.fcs,2019-09-25,DH5α,SrpR-S3,pAN,100,0.7825120687484741
548,Huseyin2019-09-25.0269.fcs,2019-09-25,DH5α,SrpR-S3,pAN,200,0.7786220908164978
549,Huseyin2019-09-25.0270.fcs,2019-09-25,DH5α,SrpR-S3,pAN,500,0.7716580629348755
550,Huseyin2019-09-25.0271.fcs,2019-09-25,DH5α,SrpR-S3,pAN,1000,0.7838576436042786
551,Huseyin2019-09-25.0272.fcs,2019-09-25,DH5α,SrpR-S3,pAN,2000,0.8053305745124817
552,Huseyin2019-09-25.0273.fcs,2019-09-25,DH5α,SrpR-S4,pAN,0,2.113720417022705
553,Huseyin2019-09-25.0274.fcs,2019-09-25,DH5α,SrpR-S4,pAN,5,1.627944827079773
554,Huseyin2019-09-25.0275.fcs,2019-09-25,DH5α,SrpR-S4,pAN,10,1.40024995803833
555,Huseyin2019-09-25.0276.fcs,2019-09-25,DH5α,SrpR-S4,pAN,20,1.1277536153793335
556,Huseyin2019-09-25.0277.fcs,2019-09-25,DH5α,SrpR-S4,pAN,30,0.8500620126724243
557,Huseyin2019-09-25.0278.fcs,2019-09-25,DH5α,SrpR-S4,pAN,40,0.8399679660797119
558,Huseyin2019-09-25.0279.fcs,2019-09-25,DH5α,SrpR-S4,pAN,70,0.8168185353279114
559,Huseyin2019-09-25.0280.fcs,2019-09-25,DH5α,SrpR-S4,pAN,100,0.8164931535720825
560,Huseyin2019-09-25.0281.fcs,2019-09-25,DH5α,SrpR-S4,pAN,200,0.8444341421127319
561,Huseyin2019-09-25.0282.fcs,2019-09-25,DH5α,SrpR-S4,pAN,500,0.8168226480484009
562,Huseyin2019-09-25.0283.fcs,2019-09-25,DH5α,SrpR-S4,pAN,1000,0.8318181037902832
563,Huseyin2019-09-25.0284.fcs,2019-09-25,DH5α,SrpR-S4,pAN,2000,0.821778416633606
576,Huseyin2019-09-26.0001.fcs,2019-09-26,DH5α,1201,pSeva221,0,0.9673001766204834
577,Huseyin2019-09-26.0002.fcs,2019-09-26,DH5α,1201,pSeva221,5,0.8885899186134338
578,Huseyin2019-09-26.0003.fcs,2019-09-26,DH5α,1201,pSeva221,10,0.9348574876785278
579,Huseyin2019-09-26.0004.fcs,2019-09-26,DH5α,1201,pSeva221,20,0.8702120184898376
580,Huseyin2019-09-26.0005.fcs,2019-09-26,DH5α,1201,pSeva221,30,0.9480152130126953
581,Huseyin2019-09-26.0006.fcs,2019-09-26,DH5α,1201,pSeva221,40,0.9123222827911377
582,Huseyin2019-09-26.0007.fcs,2019-09-26,DH5α,1201,pSeva221,70,0.8878628015518188
583,Huseyin2019-09-26.0008.fcs,2019-09-26,DH5α,1201,pSeva221,100,0.8991584777832031
584,Huseyin2019-09-26.0009.fcs,2019-09-26,DH5α,1201,pSeva221,200,0.870273232460022
585,Huseyin2019-09-26.0010.fcs,2019-09-26,DH5α,1201,pSeva221,500,0.8699545860290527
586,Huseyin2019-09-26.0011.fcs,2019-09-26,DH5α,1201,pSeva221,1000,0.8917657732963562
587,Huseyin2019-09-26.0012.fcs,2019-09-26,DH5α,1201,pSeva221,2000,0.8916852474212646
588,Huseyin2019-09-26.0013.fcs,2019-09-26,DH5α,1717,pSeva221,0,5.099224090576172
589,Huseyin2019-09-26.0014.fcs,2019-09-26,DH5α,1717,pSeva221,5,3.503028392791748
590,Huseyin2019-09-26.0015.fcs,2019-09-26,DH5α,1717,pSeva221,10,3.694012403488159
591,Huseyin2019-09-26.0016.fcs,2019-09-26,DH5α,1717,pSeva221,20,2.1210432052612305
592,Huseyin2019-09-26.0017.fcs,2019-09-26,DH5α,1717,pSeva221,30,2.4305238723754883
593,Huseyin2019-09-26.0018.fcs,2019-09-26,DH5α,1717,pSeva221,40,2.5174930095672607
594,Huseyin2019-09-26.0019.fcs,2019-09-26,DH5α,1717,pSeva221,70,5.547906875610352
595,Huseyin2019-09-26.0020.fcs,2019-09-26,DH5α,1717,pSeva221,100,4.1913676261901855
596,Huseyin2019-09-26.0021.fcs,2019-09-26,DH5α,1717,pSeva221,200,2.165996551513672
597,Huseyin2019-09-26.0022.fcs,2019-09-26,DH5α,1717,pSeva221,500,3.2744646072387695
598,Huseyin2019-09-26.0023.fcs,2019-09-26,DH5α,1717,pSeva221,1000,4.014798164367676
599,Huseyin2019-09-26.0024.fcs,2019-09-26,DH5α,1717,pSeva221,2000,3.269242763519287
600,Huseyin2019-09-26.0025.fcs,2019-09-26,DH5α,1818,pSeva221,0,0.8771744966506958
601,Huseyin2019-09-26.0026.fcs,2019-09-26,DH5α,1818,pSeva221,5,0.8645017147064209
602,Huseyin2019-09-26.0027.fcs,2019-09-26,DH5α,1818,pSeva221,10,0.8958573341369629
603,Huseyin2019-09-26.0028.fcs,2019-09-26,DH5α,1818,pSeva221,20,0.9388751983642578
604,Huseyin2019-09-26.0029.fcs,2019-09-26,DH5α,1818,pSeva221,30,1.2799348831176758
605,Huseyin2019-09-26.0030.fcs,2019-09-26,DH5α,1818,pSeva221,40,1.8917959928512573
606,Huseyin2019-09-26.0031.fcs,2019-09-26,DH5α,1818,pSeva221,70,4.254459381103516
607,Huseyin2019-09-26.0032.fcs,2019-09-26,DH5α,1818,pSeva221,100,6.584278583526611
608,Huseyin2019-09-26.0033.fcs,2019-09-26,DH5α,1818,pSeva221,200,4.020625114440918
609,Huseyin2019-09-26.0034.fcs,2019-09-26,DH5α,1818,pSeva221,500,4.711380958557129
610,Huseyin2019-09-26.0035.fcs,2019-09-26,DH5α,1818,pSeva221,1000,6.7716169357299805
611,Huseyin2019-09-26.0036.fcs,2019-09-26,DH5α,1818,pSeva221,2000,7.646045684814453
612,Huseyin2019-09-26.0037.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,0,26.71799659729004
613,Huseyin2019-09-26.0038.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,5,16.189403533935547
614,Huseyin2019-09-26.0039.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,10,14.408973693847656
615,Huseyin2019-09-26.0040.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,20,10.288070678710938
616,Huseyin2019-09-26.0041.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,30,6.165853500366211
617,Huseyin2019-09-26.0042.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,40,7.243866443634033
618,Huseyin2019-09-26.0043.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,70,7.31830358505249
619,Huseyin2019-09-26.0044.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,100,5.891663551330566
620,Huseyin2019-09-26.0045.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,200,2.7443103790283203
621,Huseyin2019-09-26.0046.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,500,2.847022294998169
622,Huseyin2019-09-26.0047.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,1000,4.123706340789795
623,Huseyin2019-09-26.0048.fcs,2019-09-26,DH5α,AmeR-F1,pSeva221,2000,4.577533721923828
624,Huseyin2019-09-26.0049.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,0,1.762073040008545
625,Huseyin2019-09-26.0050.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,5,0.9302542209625244
626,Huseyin2019-09-26.0051.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,10,0.9129935503005981
627,Huseyin2019-09-26.0052.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,20,0.8699378371238708
628,Huseyin2019-09-26.0053.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,30,0.8544833660125732
629,Huseyin2019-09-26.0054.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,40,0.877324640750885
630,Huseyin2019-09-26.0055.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,70,0.9404258728027344
631,Huseyin2019-09-26.0056.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,100,0.8811190128326416
632,Huseyin2019-09-26.0057.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,200,0.7505225539207458
633,Huseyin2019-09-26.0058.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,500,0.7231748104095459
634,Huseyin2019-09-26.0059.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,1000,0.7202112674713135
635,Huseyin2019-09-26.0060.fcs,2019-09-26,DH5α,AmtR-A1,pSeva221,2000,0.773543655872345
636,Huseyin2019-09-26.0061.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,0,9.831162452697754
637,Huseyin2019-09-26.0062.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,5,3.2896337509155273
638,Huseyin2019-09-26.0063.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,10,2.307593822479248
639,Huseyin2019-09-26.0064.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,20,1.002241611480713
640,Huseyin2019-09-26.0065.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,30,0.9331146478652954
641,Huseyin2019-09-26.0066.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,40,0.8732396960258484
642,Huseyin2019-09-26.0067.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,70,0.8879109025001526
643,Huseyin2019-09-26.0068.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,100,0.9767206907272339
644,Huseyin2019-09-26.0069.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,200,0.9430632591247559
645,Huseyin2019-09-26.0070.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,500,0.9255412817001343
646,Huseyin2019-09-26.0071.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,1000,1.0185377597808838
647,Huseyin2019-09-26.0072.fcs,2019-09-26,DH5α,BetI-E1,pSeva221,2000,1.115735411643982
648,Huseyin2019-09-26.0073.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,0,0.9662377238273621
649,Huseyin2019-09-26.0074.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,5,0.8749103546142578
650,Huseyin2019-09-26.0075.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,10,0.9329893589019775
651,Huseyin2019-09-26.0076.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,20,0.9135870337486267
652,Huseyin2019-09-26.0077.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,30,0.9929541945457458
653,Huseyin2019-09-26.0078.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,40,0.9400269389152527
654,Huseyin2019-09-26.0079.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,70,0.9577134847640991
655,Huseyin2019-09-26.0080.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,100,0.9142695665359497
656,Huseyin2019-09-26.0081.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,200,0.87395840883255
657,Huseyin2019-09-26.0082.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,500,0.9026222825050354
658,Huseyin2019-09-26.0083.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,1000,0.8635264039039612
659,Huseyin2019-09-26.0084.fcs,2019-09-26,DH5α,BM3R1-B1,pSeva221,2000,0.8702351450920105
660,Huseyin2019-09-26.0085.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,0,1.044127345085144
661,Huseyin2019-09-26.0086.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,5,0.9482488632202148
662,Huseyin2019-09-26.0087.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,10,0.7310493588447571
663,Huseyin2019-09-26.0088.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,20,0.5216488242149353
664,Huseyin2019-09-26.0089.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,30,0.6068036556243896
665,Huseyin2019-09-26.0090.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,40,0.6355647444725037
666,Huseyin2019-09-26.0091.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,70,0.5864714980125427
667,Huseyin2019-09-26.0092.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,100,0.5055936574935913
668,Huseyin2019-09-26.0093.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,200,0.5293675065040588
669,Huseyin2019-09-26.0094.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,500,0.9365069270133972
670,Huseyin2019-09-26.0095.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,1000,0.8983282446861267
671,Huseyin2019-09-26.0096.fcs,2019-09-26,DH5α,BM3R1-B2,pSeva221,2000,0.8727697134017944
672,Huseyin2019-09-26.0101.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,0,2.4612300395965576
673,Huseyin2019-09-26.0102.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,5,2.211747646331787
674,Huseyin2019-09-26.0103.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,10,2.0152924060821533
675,Huseyin2019-09-26.0104.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,20,1.5995529890060425
676,Huseyin2019-09-26.0105.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,30,1.237617015838623
677,Huseyin2019-09-26.0106.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,40,1.0499953031539917
678,Huseyin2019-09-26.0107.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,70,0.886733889579773
679,Huseyin2019-09-26.0108.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,100,0.8892814517021179
680,Huseyin2019-09-26.0109.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,200,0.8321171998977661
681,Huseyin2019-09-26.0110.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,500,0.8639633655548096
682,Huseyin2019-09-26.0111.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,1000,0.902783989906311
683,Huseyin2019-09-26.0112.fcs,2019-09-26,DH5α,BM3R1-B3,pSeva221,2000,0.8910399675369263
684,Huseyin2019-09-26.0113.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,0,0.8793126344680786
685,Huseyin2019-09-26.0114.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,5,0.8463069200515747
686,Huseyin2019-09-26.0115.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,10,0.8382694721221924
687,Huseyin2019-09-26.0116.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,20,0.8431771397590637
688,Huseyin2019-09-26.0117.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,30,0.8276928663253784
689,Huseyin2019-09-26.0118.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,40,0.8342466354370117
690,Huseyin2019-09-26.0119.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,70,0.8644136786460876
691,Huseyin2019-09-26.0120.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,100,0.8545806407928467
692,Huseyin2019-09-26.0121.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,200,0.8066026568412781
693,Huseyin2019-09-26.0122.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,500,0.772376298904419
694,Huseyin2019-09-26.0123.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,1000,0.7419441938400269
695,Huseyin2019-09-26.0124.fcs,2019-09-26,DH5α,HIyIIR-H1,pSeva221,2000,0.7946704030036926
696,Huseyin2019-09-26.0125.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,0,2.0007734298706055
697,Huseyin2019-09-26.0126.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,5,1.056744933128357
698,Huseyin2019-09-26.0127.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,10,0.958183765411377
699,Huseyin2019-09-26.0128.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,20,0.8837766647338867
700,Huseyin2019-09-26.0129.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,30,0.8618959188461304
701,Huseyin2019-09-26.0130.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,40,0.8582839965820312
702,Huseyin2019-09-26.0131.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,70,0.8509824275970459
703,Huseyin2019-09-26.0132.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,100,0.8291842341423035
704,Huseyin2019-09-26.0133.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,200,0.8023545742034912
705,Huseyin2019-09-26.0134.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,500,0.7789262533187866
706,Huseyin2019-09-26.0135.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,1000,0.7330560684204102
707,Huseyin2019-09-26.0136.fcs,2019-09-26,DH5α,lcaRA-I1,pSeva221,2000,0.7863427400588989
708,Huseyin2019-09-26.0137.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,0,4.907934188842773
709,Huseyin2019-09-26.0138.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,5,2.095475196838379
710,Huseyin2019-09-26.0139.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,10,1.451428771018982
711,Huseyin2019-09-26.0140.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,20,0.9394966959953308
712,Huseyin2019-09-26.0141.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,30,0.9166579246520996
713,Huseyin2019-09-26.0142.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,40,0.8875536918640137
714,Huseyin2019-09-26.0143.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,70,0.911770761013031
715,Huseyin2019-09-26.0144.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,100,0.91204833984375
716,Huseyin2019-09-26.0145.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,200,0.9012194871902466
717,Huseyin2019-09-26.0146.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,500,0.968285858631134
718,Huseyin2019-09-26.0147.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,1000,0.9194048643112183
719,Huseyin2019-09-26.0148.fcs,2019-09-26,DH5α,LitR-L1,pSeva221,2000,0.9635628461837769
720,Huseyin2019-09-26.0149.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,0,1.540889024734497
721,Huseyin2019-09-26.0150.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,5,1.2290890216827393
722,Huseyin2019-09-26.0151.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,10,0.9904108047485352
723,Huseyin2019-09-26.0152.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,20,0.8782117366790771
724,Huseyin2019-09-26.0153.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,30,0.858954131603241
725,Huseyin2019-09-26.0154.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,40,0.8635492920875549
726,Huseyin2019-09-26.0155.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,70,0.8965378999710083
727,Huseyin2019-09-26.0156.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,100,0.9723794460296631
728,Huseyin2019-09-26.0157.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,200,0.9372424483299255
729,Huseyin2019-09-26.0158.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,500,1.0360393524169922
730,Huseyin2019-09-26.0159.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,1000,1.0781291723251343
731,Huseyin2019-09-26.0160.fcs,2019-09-26,DH5α,LmrA-N1,pSeva221,2000,1.0242830514907837
732,Huseyin2019-09-26.0161.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,0,18.15652084350586
733,Huseyin2019-09-26.0162.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,5,14.182348251342773
734,Huseyin2019-09-26.0163.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,10,13.841694831848145
735,Huseyin2019-09-26.0164.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,20,11.449087142944336
736,Huseyin2019-09-26.0165.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,30,11.958828926086426
737,Huseyin2019-09-26.0166.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,40,15.476667404174805
738,Huseyin2019-09-26.0167.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,70,11.243589401245117
739,Huseyin2019-09-26.0168.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,100,11.386561393737793
740,Huseyin2019-09-26.0169.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,200,11.143424987792969
741,Huseyin2019-09-26.0170.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,500,15.34906005859375
742,Huseyin2019-09-26.0171.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,1000,17.380088806152344
743,Huseyin2019-09-26.0172.fcs,2019-09-26,DH5α,PhIF-P1,pSeva221,2000,16.415618896484375
744,Huseyin2019-09-26.0173.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,0,16.53248405456543
745,Huseyin2019-09-26.0174.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,5,10.429282188415527
746,Huseyin2019-09-26.0175.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,10,9.485593795776367
747,Huseyin2019-09-26.0176.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,20,3.5499565601348877
748,Huseyin2019-09-26.0177.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,30,1.4746670722961426
749,Huseyin2019-09-26.0178.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,40,1.3152836561203003
750,Huseyin2019-09-26.0179.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,70,0.862004816532135
751,Huseyin2019-09-26.0180.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,100,0.8396421670913696
752,Huseyin2019-09-26.0181.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,200,0.8341151475906372
753,Huseyin2019-09-26.0182.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,500,0.9136738181114197
754,Huseyin2019-09-26.0183.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,1000,0.8631777167320251
755,Huseyin2019-09-26.0184.fcs,2019-09-26,DH5α,PhIF-P2,pSeva221,2000,0.8766806125640869
756,Huseyin2019-09-26.0185.fcs,2019-09-26,DH5α,PhIF-P3,pSeva221,0,10.863410949707031
757,Huseyin2019-09-26.0186.fcs,2019-09-26,DH5α,PhIF-P3,pSeva221,5,3.2219581604003906
758,Huseyin2019-09-26.0187.fcs,2019-09-26,DH5α,PhIF-P3,pSeva221,10,1.3003500699996948
