,filename,date,strain,plasmid,backbone,iptg_concentration,median
137,Huseyin2019-09-24.0142.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,40,48.92768859863281
138,Huseyin2019-09-24.0143.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,70,46.606658935546875
139,Huseyin2019-09-24.0144.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,100,41.66379165649414
140,Huseyin2019-09-24.0145.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,200,31.25727081298828
141,Huseyin2019-09-24.0146.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,500,23.811473846435547
142,Huseyin2019-09-24.0147.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,1000,18.543062210083008
143,Huseyin2019-09-24.0148.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,2000,15.249791145324707
144,Huseyin2019-09-24.0149.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,0,26.94346809387207
145,Huseyin2019-09-24.0150.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,5,22.477306365966797
146,Huseyin2019-09-24.0151.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,10,21.518596649169922
147,Huseyin2019-09-24.0152.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,20,20.3127384185791
148,Huseyin2019-09-24.0153.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,30,19.760265350341797
149,Huseyin2019-09-24.0154.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,40,18.624095916748047
150,Huseyin2019-09-24.0155.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,70,16.951885223388672
151,Huseyin2019-09-24.0156.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,100,15.710676193237305
152,Huseyin2019-09-24.0157.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,200,12.985795021057129
153,Huseyin2019-09-24.0158.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,500,8.25749683380127
154,Huseyin2019-09-24.0159.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,1000,5.737051010131836
155,Huseyin2019-09-24.0160.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,2000,4.106237888336182
156,Huseyin2019-09-24.0161.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,0,165.53054809570312
157,Huseyin2019-09-24.0162.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,5,152.90052795410156
158,Huseyin2019-09-24.0163.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,10,153.99081420898438
159,Huseyin2019-09-24.0164.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,20,143.42074584960938
160,Huseyin2019-09-24.0165.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,30,134.16107177734375
161,Huseyin2019-09-24.0166.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,40,132.69419860839844
162,Huseyin2019-09-24.0167.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,70,115.51180267333984
163,Huseyin2019-09-24.0168.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,100,119.63484954833984
164,Huseyin2019-09-24.0169.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,200,126.19129943847656
165,Huseyin2019-09-24.0170.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,500,124.86771392822266
166,Huseyin2019-09-24.0171.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,1000,119.2645492553711
167,Huseyin2019-09-24.0172.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,2000,124.17928314208984
168,Huseyin2019-09-24.0173.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,0,184.27642822265625
169,Huseyin2019-09-24.0174.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,5,163.49215698242188
170,Huseyin2019-09-24.0175.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,10,162.43482971191406
171,Huseyin2019-09-24.0176.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,20,144.94619750976562
172,Huseyin2019-09-24.0177.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,30,150.81854248046875
173,Huseyin2019-09-24.0178.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,40,126.65089416503906
174,Huseyin2019-09-24.0179.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,70,144.4275665283203
175,Huseyin2019-09-24.0180.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,100,135.54510498046875
176,Huseyin2019-09-24.0181.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,200,130.14718627929688
177,Huseyin2019-09-24.0182.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,500,131.90103149414062
178,Huseyin2019-09-24.0183.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,1000,121.70865631103516
179,Huseyin2019-09-24.0184.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,2000,121.41899108886719
180,Huseyin2019-09-24.0185.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,0,188.98965454101562
181,Huseyin2019-09-24.0186.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,5,167.77651977539062
182,Huseyin2019-09-24.0187.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,10,185.08724975585938
183,Huseyin2019-09-24.0188.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,20,173.48876953125
184,Huseyin2019-09-24.0189.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,30,156.03289794921875
185,Huseyin2019-09-24.0190.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,40,148.69216918945312
186,Huseyin2019-09-24.0191.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,70,134.6814727783203
187,Huseyin2019-09-24.0192.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,100,117.94712829589844
188,Huseyin2019-09-24.0193.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,200,88.67371368408203
189,Huseyin2019-09-24.0194.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,500,66.90968322753906
190,Huseyin2019-09-24.0195.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,1000,52.703487396240234
191,Huseyin2019-09-24.0196.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,2000,38.13207244873047
192,Huseyin2019-09-24.0201.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,0,139.15130615234375
193,Huseyin2019-09-24.0202.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,5,140.6399383544922
194,Huseyin2019-09-24.0203.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,10,137.8850555419922
195,Huseyin2019-09-24.0204.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,20,140.3868408203125
196,Huseyin2019-09-24.0205.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,30,137.12640380859375
197,Huseyin2019-09-24.0206.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,40,131.0237274169922
198,Huseyin2019-09-24.0207.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,70,128.5453338623047
199,Huseyin2019-09-24.0208.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,100,123.0817642211914
200,Huseyin2019-09-24.0209.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,200,111.1927490234375
201,Huseyin2019-09-24.0210.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,500,98.51620483398438
202,Huseyin2019-09-24.0211.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,1000,87.87657928466797
203,Huseyin2019-09-24.0212.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,2000,70.73632049560547
204,Huseyin2019-09-24.0213.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,0,30.608753204345703
205,Huseyin2019-09-24.0214.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,5,29.602127075195312
206,Huseyin2019-09-24.0215.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,10,27.98092269897461
207,Huseyin2019-09-24.0216.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,20,25.990156173706055
208,Huseyin2019-09-24.0217.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,30,25.41473388671875
209,Huseyin2019-09-24.0218.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,40,25.090024948120117
210,Huseyin2019-09-24.0219.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,70,22.69911003112793
211,Huseyin2019-09-24.0220.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,100,21.993671417236328
212,Huseyin2019-09-24.0221.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,200,18.257293701171875
213,Huseyin2019-09-24.0222.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,500,14.3740234375
214,Huseyin2019-09-24.0223.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,1000,10.87101936340332
215,Huseyin2019-09-24.0224.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,2000,6.190899848937988
216,Huseyin2019-09-24.0225.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,0,42.471160888671875
217,Huseyin2019-09-24.0226.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,5,35.24048614501953
218,Huseyin2019-09-24.0227.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,10,34.10389709472656
219,Huseyin2019-09-24.0228.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,20,36.97952651977539
220,Huseyin2019-09-24.0229.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,30,31.961835861206055
221,Huseyin2019-09-24.0230.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,40,31.80359649658203
222,Huseyin2019-09-24.0231.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,70,31.31743621826172
223,Huseyin2019-09-24.0232.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,100,29.373241424560547
224,Huseyin2019-09-24.0233.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,200,27.132709503173828
225,Huseyin2019-09-24.0234.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,500,23.845233917236328
226,Huseyin2019-09-24.0235.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,1000,21.212200164794922
227,Huseyin2019-09-24.0236.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,2000,14.149612426757812
