,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v_x,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,rrpu,median_yfp,newstandard
64,KT2440,Beti_e1,pSeva221,30,3.3811797844388396,2.5802003092803085,0.4580404369481647,0.6296694716474394,0.6104347835425643,0.9797681789947058,0.3627984957618601,3.4022709901365804,2.92,2.9910089854082558
65,KT2440,Beti_e1,pSeva221,40,3.3716261310098017,2.5802259388147584,0.4699376669908866,0.6389049375811325,0.6011727183072071,0.9769073371978364,0.3755361733756133,3.3926174544686236,2.87,2.961018311996831
66,KT2440,Beti_e1,pSeva221,70,3.3636406393461957,2.5992533788091543,0.458619120099365,0.6261714390020021,0.6023688154007799,0.9734572957923328,0.3660779893230952,3.3761899237159056,2.85,2.910643682351261
67,KT2440,Beti_e1,pSeva221,100,3.3303211546699463,2.592965022998817,0.4561828546888394,0.6258511340336282,0.608470940553582,0.9778354243173673,0.36201583600704795,3.3457256564221085,2.77,2.819388024429498
68,KT2440,Beti_e1,pSeva221,200,3.333350974522037,2.651750573319017,0.4556489848481709,0.6279753367855943,0.6134341947330595,0.9761509258667082,0.3598468893998505,3.3226451432443076,2.76,2.752077919346122
69,KT2440,Beti_e1,pSeva221,500,3.272102464297013,2.701547206907573,0.4484670808500552,0.6227522026838835,0.6329636156023699,0.97341574938702,0.3471949365797701,3.2384403901930736,2.58,2.519272345883211
70,KT2440,Beti_e1,pSeva221,1000,3.130699289435724,2.5699214946762376,0.4459490435706472,0.6145851092843222,0.6250817193653847,0.9776819652943048,0.348089679940686,3.156904641723884,2.23,2.311777777562407
71,KT2440,Beti_e1,pSeva221,2000,3.1673817680673637,2.8172523946287997,0.423244447302564,0.6014663830836394,0.6897998617485466,0.9754907122422044,0.3064290239053053,3.0753712963239646,2.32,2.120535493660618
72,KT2440,Bm3r1_b1,pSeva221,1,2.699811580584829,2.717107086025996,0.4836839831384488,0.6371689774495704,0.6076615037264549,0.9796137167400132,0.3841399487640844,2.6585684823490254,1.4,1.3531990851823772
73,KT2440,Bm3r1_b1,pSeva221,5,2.607982533065088,2.5387086514503627,0.4799420672575173,0.6237427122358281,0.6088604406500122,0.9816102177314354,0.38072717422862856,2.649673147432654,1.28,1.3400577162582743
74,KT2440,Bm3r1_b1,pSeva221,10,2.651105462836365,2.582571395429372,0.4664779817587848,0.6142459591511964,0.6203754815871653,0.9830147450575916,0.3658609923157461,2.6723660130721383,1.34,1.3738153212913333
75,KT2440,Bm3r1_b1,pSeva221,20,2.634041657821685,2.590560152304632,0.479461746947191,0.6389390802513149,0.6078281990894909,0.9798107638891421,0.3807254997013721,2.6509807492945376,1.31,1.3419821580405487
76,KT2440,Bm3r1_b1,pSeva221,30,2.5734925225149246,2.542452578762263,0.4798526452534334,0.6246162711520893,0.6081696650431386,0.9821021458266168,0.3809104205890041,2.613320619457204,1.24,1.2875515930333672
